
time="2022-03-01T16:21:31+08:00" level=info msg="user is:[{1 test 0 }]" pkg=handler
time="2022-03-01T16:21:31+08:00" level=info msg="| 200 |     11.0743ms |       127.0.0.1 | GET | /test?name=test&uuid=1 |" pkg=middleware
time="2022-03-01T16:21:36+08:00" level=info msg="user is:[{2 test1 0 }]" pkg=handler
time="2022-03-01T16:21:36+08:00" level=info msg="| 200 |         879µs |       127.0.0.1 | GET | /test?name=test1&uuid=2 |" pkg=middleware
time="2022-03-01 16:29:23" level=info msg="user is:[{2  0 }]" pkg=handler
time="2022-03-01 16:29:23" level=info msg="| 200 |      1.6887ms |       127.0.0.1 | GET | /test?nam=test1&uuid=2 |" pkg=middleware
time="2022-03-01 16:29:36" level=info msg="user is:[{2 true 0 }]" pkg=handler
time="2022-03-01 16:29:36" level=info msg="| 200 |            0s |       127.0.0.1 | GET | /test?name=true&uuid=2 |" pkg=middleware
time="2022-03-01 16:29:48" level=error msg="err is:[strconv.ParseInt: parsing \"sdfsdf\": invalid syntax]" pkg=handler
time="2022-03-01 16:29:48" level=info msg="response:[<nil>]" pkg=handler
time="2022-03-01 16:29:48" level=info msg="| 400 |       607.9µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=sdfsdf |" pkg=middleware
time="2022-03-01 17:30:42" level=error msg="err is:[strconv.ParseInt: parsing \"sdfsdf\": invalid syntax]" pkg=handler
time="2022-03-01 17:30:42" level=error msg="err is:[strconv.ParseInt: parsing \"sdfsdf\": invalid syntax]" pkg=handler
time="2022-03-01 17:30:42" level=info msg="| 400 |         944µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=sdfsdf |" pkg=middleware
time="2022-03-01 17:31:01" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 17:31:01" level=info msg="| 200 |       936.3µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 17:44:40" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 17:44:40" level=info msg="| 200 |      1.8879ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 17:47:02" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 17:47:02" level=info msg="| 200 |      4.2889ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 17:50:20" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 17:50:20" level=info msg="| 400 |      7.9017ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 17:55:33" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 17:55:33" level=info msg="| 400 |      1.8242ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:25:36" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:25:36" level=info msg="| 200 |      2.8337ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:26:35" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:26:35" level=info msg="| 200 |      1.5839ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:27:41" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:27:41" level=info msg="| 200 |      1.2901ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:27:47" level=error msg="failed to add error:[strconv.ParseInt: parsing \"dddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:27:47" level=info msg="| 400 |      1.2076ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=dddd |" pkg=middleware
time="2022-03-01 18:29:32" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:29:32" level=info msg="| 200 |      1.7349ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:30:50" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:30:50" level=info msg="| 400 |      2.7452ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:32:05" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:32:05" level=info msg="| 400 |     12.2437ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:32:52" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:32:52" level=info msg="| 400 |      3.1562ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:32:54" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:32:54" level=info msg="| 400 |      1.4889ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
